year,month,ipc
1937,7,0.000000159
1937,8,0.00000016
1937,9,0.000000159
1937,10,0.00000016
1937,11,0.000000161
1937,12,0.000000161
1938,1,0.000000162
1938,2,0.000000156
1938,3,0.000000155
1938,4,0.000000155
1938,5,0.000000159
1938,6,0.00000016
1938,7,0.000000163
1938,8,0.000000163
1938,9,0.000000163
1938,10,0.000000162
1938,11,0.000000163
1938,12,0.000000162
1939,1,0.000000167
1939,2,0.000000165
1939,3,0.000000164
1939,4,0.000000171
1939,5,0.000000171
1939,6,0.000000169
1939,7,0.000000169
1939,8,0.000000168
1939,9,0.00000017
1939,10,0.000000171
1939,11,0.000000173
1939,12,0.000000179
1940,1,0.000000176
1940,2,0.000000176
1940,3,0.000000177
1940,4,0.000000176
1940,5,0.000000174
1940,6,0.000000178
1940,7,0.000000178
1940,8,0.000000178
1940,9,0.000000178
1940,10,0.000000178
1940,11,0.000000178
1940,12,0.000000179
1941,1,0.000000179
1941,2,0.000000178
1941,3,0.000000178
1941,4,0.000000178
1941,5,0.000000178
1941,6,0.000000179
1941,7,0.000000176
1941,8,0.000000176
1941,9,0.000000177
1941,10,0.000000177
1941,11,0.000000178
1941,12,0.000000179
1942,1,0.000000178
1942,2,0.000000183
1942,3,0.000000184
1942,4,0.000000184
1942,5,0.000000186
1942,6,0.000000185
1942,7,0.000000186
1942,8,0.000000183
1942,9,0.000000183
1942,10,0.000000183
1942,11,0.000000183
1942,12,0.000000185
1943,1,0.000000188
1943,2,0.000000191
1943,3,0.000000197
1943,4,0.000000198
1943,5,0.000000196
1943,6,0.000000193
1943,7,0.000000193
1943,8,0.000000193
1943,9,0.0000002
1943,10,0.000000206
1943,11,0.000000199
1943,12,0.000000193
1944,1,0.000000193
1944,2,0.000000192
1944,3,0.000000195
1944,4,0.000000196
1944,5,0.000000203
1944,6,0.000000203
1944,7,0.000000203
1944,8,0.000000206
1944,9,0.000000208
1944,10,0.00000021
1944,11,0.000000209
1944,12,0.000000208
1945,1,0.000000211
1945,2,0.000000219
1945,3,0.000000221
1945,4,0.000000221
1945,5,0.000000222
1945,6,0.000000226
1945,7,0.000000232
1945,8,0.000000245
1945,9,0.000000235
1945,10,0.000000236
1945,11,0.000000238
1945,12,0.000000235
1946,1,0.00000024
1946,2,0.000000242
1946,3,0.000000245
1946,4,0.000000244
1946,5,0.00000025
1946,6,0.000000254
1946,7,0.000000257
1946,8,0.000000257
1946,9,0.000000256
1946,10,0.000000256
1946,11,0.000000257
1946,12,0.000000267
1947,1,0.000000271
1947,2,0.000000278
1947,3,0.00000028
1947,4,0.000000291
1947,5,0.000000293
1947,6,0.000000295
1947,7,0.000000297
1947,8,0.000000301
1947,9,0.000000294
1947,10,0.000000294
1947,11,0.000000294
1947,12,0.000000295
1948,1,0.000000297
1948,2,0.000000293
1948,3,0.000000293
1948,4,0.000000291
1948,5,0.000000291
1948,6,0.000000289
1948,7,0.000000295
1948,8,0.000000295
1948,9,0.000000298
1948,10,0.000000297
1948,11,0.000000301
1948,12,0.000000302
1949,1,0.000000314
1949,2,0.000000318
1949,3,0.000000319
1949,4,0.000000316
1949,5,0.000000314
1949,6,0.000000319
1949,7,0.000000319
1949,8,0.000000315
1949,9,0.000000295
1949,10,0.000000298
1949,11,0.000000296
1949,12,0.000000297
1950,1,0.000000293
1950,2,0.000000295
1950,3,0.000000297
1950,4,0.0000003
1950,5,0.000000293
1950,6,0.000000296
1950,7,0.000000297
1950,8,0.000000295
1950,9,0.000000293
1950,10,0.000000297
1950,11,0.000000303
1950,12,0.000000303
1951,1,0.000000312
1951,2,0.000000312
1951,3,0.000000311
1951,4,0.000000338
1951,5,0.000000338
1951,6,0.000000341
1951,7,0.000000341
1951,8,0.000000345
1951,9,0.000000355
1951,10,0.000000358
1951,11,0.000000365
1951,12,0.000000367
1952,1,0.000000366
1952,2,0.000000374
1952,3,0.00000038
1952,4,0.000000382
1952,5,0.000000381
1952,6,0.000000385
1952,7,0.00000039
1952,8,0.000000389
1952,9,0.000000397
1952,10,0.000000397
1952,11,0.000000402
1952,12,0.000000407
1953,1,0.000000406
1953,2,0.000000401
1953,3,0.000000402
1953,4,0.000000404
1953,5,0.000000409
1953,6,0.000000405
1953,7,0.000000408
1953,8,0.000000409
1953,9,0.000000424
1953,10,0.000000425
1953,11,0.000000426
1953,12,0.000000445
1954,1,0.00000044
1954,2,0.000000441
1954,3,0.000000442
1954,4,0.000000451
1954,5,0.000000456
1954,6,0.000000473
1954,7,0.000000465
1954,8,0.00000046
1954,9,0.000000477
1954,10,0.000000481
1954,11,0.000000483
1954,12,0.00000048
1955,1,0.000000488
1955,2,0.000000487
1955,3,0.00000049
1955,4,0.000000491
1955,5,0.000000493
1955,6,0.000000494
1955,7,0.000000507
1955,8,0.000000517
1955,9,0.000000505
1955,10,0.000000514
1955,11,0.000000518
1955,12,0.000000531
1956,1,0.000000534
1956,2,0.000000531
1956,3,0.000000524
1956,4,0.000000518
1956,5,0.00000054
1956,6,0.000000534
1956,7,0.000000536
1956,8,0.000000531
1956,9,0.00000053
1956,10,0.000000552
1956,11,0.000000553
1956,12,0.000000562
1957,1,0.000000572
1957,2,0.000000578
1957,3,0.000000572
1957,4,0.000000569
1957,5,0.000000575
1957,6,0.000000632
1957,7,0.000000643
1957,8,0.000000635
1957,9,0.00000064
1957,10,0.000000642
1957,11,0.000000665
1957,12,0.000000666
1958,1,0.000000677
1958,2,0.000000677
1958,3,0.000000688
1958,4,0.000000708
1958,5,0.000000709
1958,6,0.00000071
1958,7,0.000000722
1958,8,0.000000719
1958,9,0.000000744
1958,10,0.000000752
1958,11,0.000000778
1958,12,0.000000797
1959,1,0.00000083
1959,2,0.000000878
1959,3,0.000000913
1959,4,0.000000913
1959,5,0.000000958
1959,6,0.000001015
1959,7,0.000001043
1959,8,0.00000108
1959,9,0.000001099
1959,10,0.000001097
1959,11,0.000001102
1959,12,0.000001184
1960,1,0.000001216
1960,2,0.000001269
1960,3,0.000001243
1960,4,0.000001269
1960,5,0.000001298
1960,6,0.000001354
1960,7,0.000001383
1960,8,0.000001482
1960,9,0.000001555
1960,10,0.000001591
1960,11,0.000001503
1960,12,0.000001613
1961,1,0.000001686
1961,2,0.000001679
1961,3,0.000001642
1961,4,0.000001624
1961,5,0.000001704
1961,6,0.000001711
1961,7,0.000001732
1961,8,0.000001741
1961,9,0.000001761
1961,10,0.000001756
1961,11,0.000001773
1961,12,0.000001779
1962,1,0.000001825
1962,2,0.000001831
1962,3,0.000001834
1962,4,0.000001835
1962,5,0.000001846
1962,6,0.00000187
1962,7,0.000001918
1962,8,0.000001936
1962,9,0.000001957
1962,10,0.000002007
1962,11,0.000001997
1962,12,0.000001978
1963,1,0.000001963
1963,2,0.000001918
1963,3,0.000002031
1963,4,0.000002131
1963,5,0.000002127
1963,6,0.00000223
1963,7,0.000002321
1963,8,0.000002369
1963,9,0.000002464
1963,10,0.000002617
1963,11,0.000002665
1963,12,0.000002841
1964,1,0.000002849
1964,2,0.000002928
1964,3,0.000003039
1964,4,0.000003054
1964,5,0.000003074
1964,6,0.000003216
1964,7,0.000003286
1964,8,0.000003398
1964,9,0.000003508
1964,10,0.000003562
1964,11,0.000003659
1964,12,0.000003848
1965,1,0.000003976
1965,2,0.000004113
1965,3,0.000004301
1965,4,0.000004401
1965,5,0.0000045
1965,6,0.000004817
1965,7,0.000004968
1965,8,0.000005283
1965,9,0.000005731
1965,10,0.000005967
1965,11,0.000006425
1965,12,0.000007234
1966,1,0.000007455
1966,2,0.000007631
1966,3,0.000007827
1966,4,0.000008192
1966,5,0.000008314
1966,6,0.000008965
1966,7,0.00000907
1966,8,0.00000931
1966,9,0.000009556
1966,10,0.000009866
1966,11,0.000010067
1966,12,0.000010806
1967,1,0.000011397
1967,2,0.00001267
1967,3,0.000013338
1967,4,0.000013667
1967,5,0.00001377
1967,6,0.000014753
1967,7,0.000017097
1967,8,0.000018195
1967,9,0.000019817
1967,10,0.000020821
1967,11,0.000021625
1967,12,0.000025492
1968,1,0.000029565
1968,2,0.000031524
1968,3,0.000033039
1968,4,0.000034243
1968,5,0.000036756
1968,6,0.000041731
1968,7,0.000041977
1968,8,0.00004127
1968,9,0.000040843
1968,10,0.000041677
1968,11,0.000041617
1968,12,0.000042399
1969,1,0.000042908
1969,2,0.000043365
1969,3,0.000044296
1969,4,0.000045498
1969,5,0.000045378
1969,6,0.000045717
1969,7,0.000046412
1969,8,0.000046785
1969,9,0.000046956
1969,10,0.000047978
1969,11,0.000048176
1969,12,0.000048557
1970,1,0.000049894
1970,2,0.000050508
1970,3,0.000051337
1970,4,0.000051985
1970,5,0.000052885
1970,6,0.000053305
1970,7,0.000053847
1970,8,0.000054071
1970,9,0.00005477
1970,10,0.00005525
1970,11,0.000056092
1970,12,0.000058718
1971,1,0.000059028
1971,2,0.000060513
1971,3,0.000061142
1971,4,0.00006163
1971,5,0.000062637
1971,6,0.000064416
1971,7,0.000065808
1971,8,0.000066745
1971,9,0.000068299
1971,10,0.000072846
1971,11,0.000073651
1971,12,0.000079654
1972,1,0.000083262
1972,2,0.000087705
1972,3,0.000094543
1972,4,0.000105176
1972,5,0.0001085
1972,6,0.00011127
1972,7,0.000117387
1972,8,0.000122927
1972,9,0.000124775
1972,10,0.000141441
1972,11,0.000153367
1972,12,0.000155092
1973,1,0.000186648
1973,2,0.000190481
1973,3,0.000194188
1973,4,0.00019846
1973,5,0.000204091
1973,6,0.000211471
1973,7,0.0002439
1973,8,0.000253221
1973,9,0.000262348
1973,10,0.000275358
1973,11,0.000272446
1973,12,0.000275358
1974,1,0.000321575
1974,2,0.000329731
1974,3,0.000339635
1974,4,0.000348761
1974,5,0.000358082
1974,6,0.000371481
1974,7,0.000399444
1974,8,0.000414979
1974,9,0.000446244
1974,10,0.000477702
1974,11,0.000527026
1974,12,0.000570524
1975,1,0.000582563
1975,2,0.000629557
1975,3,0.000655384
1975,4,0.000678298
1975,5,0.000702766
1975,6,0.000716553
1975,7,0.000733836
1975,8,0.000756944
1975,9,0.000801996
1975,10,0.000834037
1975,11,0.000854426
1975,12,0.000951909
1976,1,0.000960259
1976,2,0.000965502
1976,3,0.00098259
1976,4,0.001002398
1976,5,0.001025312
1976,6,0.001037546
1976,7,0.001117551
1976,8,0.001180856
1976,9,0.001234258
1976,10,0.001274066
1976,11,0.001290184
1976,12,0.001332323
1977,1,0.001395628
1977,2,0.00148476
1977,3,0.00153253
1977,4,0.001586903
1977,5,0.00164613
1977,6,0.001719533
1977,7,0.001807112
1977,8,0.001866533
1977,9,0.001967899
1977,10,0.002035477
1977,11,0.002064799
1977,12,0.002095481
1978,1,0.002120143
1978,2,0.002177816
1978,3,0.002236461
1978,4,0.002353945
1978,5,0.002418804
1978,6,0.002488517
1978,7,0.002572018
1978,8,0.002661927
1978,9,0.002769895
1978,10,0.002873786
1978,11,0.002915342
1978,12,0.003059623
1979,1,0.003231285
1979,2,0.0033845
1979,3,0.003472078
1979,4,0.003630147
1979,5,0.003889776
1979,6,0.004053088
1979,7,0.004190767
1979,8,0.004592348
1979,9,0.00480343
1979,10,0.004966936
1979,11,0.005316863
1979,12,0.00560329
1980,1,0.005807769
1980,2,0.006063126
1980,3,0.006182552
1980,4,0.006341203
1980,5,0.006561218
1980,6,0.006799487
1980,7,0.007181454
1980,8,0.007366903
1980,9,0.007519729
1980,10,0.00782907
1980,11,0.00793801
1980,12,0.008002674
1981,1,0.008177249
1981,2,0.008385224
1981,3,0.008576499
1981,4,0.00874486
1981,5,0.008914969
1981,6,0.009165277
1981,7,0.009447432
1981,8,0.009772696
1981,9,0.009981642
1981,10,0.010184957
1981,11,0.010349628
1981,12,0.010352347
1982,1,0.010461675
1982,2,0.01051663
1982,3,0.010488084
1982,4,0.010664019
1982,5,0.010762278
1982,6,0.010899957
1982,7,0.011200365
1982,8,0.011368726
1982,9,0.011452615
1982,10,0.011554952
1982,11,0.011487181
1982,12,0.012477927
1983,1,0.014401746
1983,2,0.014802938
1983,3,0.014986057
1983,4,0.015582019
1983,5,0.01570261
1983,6,0.016044186
1983,7,0.016416056
1983,8,0.016932596
1983,9,0.017765661
1983,10,0.01869252
1983,11,0.018699705
1983,12,0.01890535
1984,1,0.020268937
1984,2,0.021089186
1984,3,0.021569024
1984,4,0.022548896
1984,5,0.023567023
1984,6,0.025060715
1984,7,0.026596547
1984,8,0.027659725
1984,9,0.028494344
1984,10,0.030070373
1984,11,0.030620119
1984,12,0.031406579
1985,1,0.032934061
1985,2,0.034000152
1985,3,0.036214864
1985,4,0.039834913
1985,5,0.041480849
1985,6,0.042721553
1985,7,0.045643654
1985,8,0.047363187
1985,9,0.049019803
1985,10,0.050997995
1985,11,0.054386766
1985,12,0.057483091
1986,1,0.060730886
1986,2,0.062949733
1986,3,0.066335487
1986,4,0.069566037
1986,5,0.071233046
1986,6,0.074693529
1986,7,0.079395645
1986,8,0.082810141
1986,9,0.086523549
1986,10,0.091012978
1986,11,0.1
1986,12,0.1
1987,1,0.1
1987,2,0.11
1987,3,0.11
1987,4,0.12
1987,5,0.12
1987,6,0.12
1987,7,0.13
1987,8,0.14
1987,9,0.14
1987,10,0.15
1987,11,0.15
1987,12,0.15
1988,1,0.16
1988,2,0.17
1988,3,0.17
1988,4,0.18
1988,5,0.19
1988,6,0.2
1988,7,0.21
1988,8,0.22
1988,9,0.23
1988,10,0.25
1988,11,0.26
1988,12,0.26
1989,1,0.27
1989,2,0.29
1989,3,0.31
1989,4,0.33
1989,5,0.33
1989,6,0.36
1989,7,0.38
1989,8,0.4
1989,9,0.42
1989,10,0.45
1989,11,0.47
1989,12,0.49
1990,1,0.52
1990,2,0.55
1990,3,0.6
1990,4,0.65
1990,5,0.68
1990,6,0.75
1990,7,0.79
1990,8,0.83
1990,9,0.96
1990,10,1.02
1990,11,1.07
1990,12,1.13
1991,1,1.21
1991,2,1.25
1991,3,1.32
1991,4,1.37
1991,5,1.49
1991,6,1.55
1991,7,1.62
1991,8,1.72
1991,9,1.83
1991,10,1.9
1991,11,1.99
1991,12,2.05
1992,1,2.16
1992,2,2.21
1992,3,2.35
1992,4,2.45
1992,5,2.56
1992,6,2.63
1992,7,2.75
1992,8,2.87
1992,9,2.99
1992,10,3.1
1992,11,3.15
1992,12,3.26
1993,1,3.39
1993,2,3.51
1993,3,3.63
1993,4,3.78
1993,5,3.96
1993,6,4.12
1993,7,4.24
1993,8,4.41
1993,9,4.57
1993,10,4.67
1993,11,4.8
1993,12,4.98
1994,1,5.15
1994,2,5.22
1994,3,5.37
1994,4,5.56
1994,5,5.71
1994,6,5.87
1994,7,6.06
1994,8,6.25
1994,9,6.46
1994,10,6.69
1994,11,6.95
1994,12,7.17
1995,1,7.41
1995,2,7.53
1995,3,7.8
1995,4,8.08
1995,5,8.26
1995,6,8.51
1995,7,8.72
1995,8,9.02
1995,9,9.19
1995,10,9.33
1995,11,9.51
1995,12,9.72
1996,1,9.91
1996,2,10.06
1996,3,10.25
1996,4,10.55
1996,5,10.77
1996,6,10.91
1996,7,11.09
1996,8,11.33
1996,9,11.61
1996,10,11.79
1996,11,11.93
1996,12,12.08
1997,1,12.32
1997,2,12.52
1997,3,12.68
1997,4,12.86
1997,5,13.03
1997,6,13.2
1997,7,13.38
1997,8,13.48
1997,9,13.59
1997,10,13.7
1997,11,13.81
1997,12,13.91
1998,1,14.11
1998,2,14.19
1998,3,14.25
1998,4,14.33
1998,5,14.41
1998,6,14.55
1998,7,14.73
1998,8,14.85
1998,9,14.95
1998,10,15.05
1998,11,15.1
1998,12,15.11
1999,1,15.21
1999,2,15.24
1999,3,15.27
1999,4,15.4
1999,5,15.43
1999,6,15.44
1999,7,15.5
1999,8,15.56
1999,9,15.56
1999,10,15.61
1999,11,15.61
1999,12,15.74
2000,1,15.8
2000,2,15.86
2000,3,15.95
2000,4,16.02
2000,5,16.1
2000,6,16.18
2000,7,16.24
2000,8,16.32
2000,9,16.39
2000,10,16.5
2000,11,16.51
2000,12,16.54
2001,1,16.59
2001,2,16.64
2001,3,16.7
2001,4,16.84
2001,5,16.95
2001,6,16.87
2001,7,17.02
2001,8,16.97
2001,9,17.02
2001,10,17.07
2001,11,17.08
2001,12,17.13
2002,1,17.28
2002,2,17.4
2002,3,17.55
2002,4,17.83
2002,5,18.05
2002,6,18.37
2002,7,19.26
2002,8,20.38
2002,9,21.02
2002,10,21.22
2002,11,21.31
2002,12,21.58
2003,1,21.98
2003,2,22.28
2003,3,22.56
2003,4,22.77
2003,5,22.85
2003,6,22.89
2003,7,23.01
2003,8,23.27
2003,9,23.46
2003,10,23.58
2003,11,23.62
2003,12,23.78
2004,1,24.3
2004,2,24.3
2004,3,24.44
2004,4,24.75
2004,5,25
2004,6,25.09
2004,7,25.34
2004,8,25.64
2004,9,25.71
2004,10,25.62
2004,11,25.56
2004,12,25.58
2005,1,25.68
2005,2,25.68
2005,3,25.79
2005,4,26.05
2005,5,26.06
2005,6,26.13
2005,7,26.46
2005,8,26.52
2005,9,26.72
2005,10,26.81
2005,11,26.78
2005,12,26.83
2006,1,27.2
2006,2,27.38
2006,3,27.47
2006,4,27.61
2006,5,27.79
2006,6,27.88
2006,7,28.11
2006,8,28.33
2006,9,28.49
2006,10,28.43
2006,11,28.44
2006,12,28.55
2007,1,29.05
2007,2,29.23
2007,3,29.49
2007,4,29.85
2007,5,30.08
2007,6,30.12
2007,7,30.37
2007,8,30.89
2007,9,31.02
2007,10,30.95
2007,11,30.88
2007,12,30.97
2008,1,31.21
2008,2,31.5
2008,3,31.86
2008,4,31.97
2008,5,32.24
2008,6,32.66
2008,7,32.8
2008,8,33.14
2008,9,33.34
2008,10,33.45
2008,11,33.51
2008,12,33.82
2009,1,34.09
2009,2,34
2009,3,34.26
2009,4,34.24
2009,5,34.38
2009,6,34.77
2009,7,35.12
2009,8,35.55
2009,9,35.63
2009,10,35.63
2009,11,35.65
2009,12,35.82
2010,1,36.15
2010,2,36.35
2010,3,36.7
2010,4,36.76
2010,5,36.82
2010,6,36.92
2010,7,37.33
2010,8,37.77
2010,9,37.88
2010,10,38.13
2010,11,38.1
2010,12,38.3
2011,1,38.78
2011,2,39.14
2011,3,39.7
2011,4,39.83
2011,5,39.96
2011,6,40.1
2011,7,40.41
2011,8,40.63
2011,9,40.84
2011,10,41.13
2011,11,41.3
2011,12,41.59
2012,1,41.9
2012,2,42.25
2012,3,42.67
2012,4,43.01
2012,5,43.18
2012,6,43.31
2012,7,43.43
2012,8,43.83
2012,9,44.37
2012,10,44.88
2012,11,45.03
2012,12,44.7
2013,1,45.55
2013,2,46.01
2013,3,46.31
2013,4,46.51
2013,5,46.66
2013,6,46.87
2013,7,47.23
2013,8,47.72
2013,9,48.37
2013,10,48.77
2013,11,48.87
2013,12,48.51
2014,1,49.7
2014,2,50.52
2014,3,50.82
2014,4,50.79
2014,5,50.95
2014,6,51.12
2014,7,51.51
2014,8,51.89
2014,9,52.41
2014,10,52.72
2014,11,52.8
2014,12,52.52
2015,1,53.68
2015,2,54.27
2015,3,54.65
2015,4,54.96
2015,5,55.23
2015,6,55.48
2015,7,56.15
2015,8,56.81
2015,9,57.2
2015,10,57.55
2015,11,57.79
2015,12,57.48
2016,1,58.88
2016,2,59.82
2016,3,60.44
2016,4,60.72
2016,5,61.31
2016,6,61.55
2016,7,61.79
2016,8,62.14
2016,9,62.3
2016,10,62.41
2016,11,62.47
2016,12,62.13
2017,1,63.75
2017,2,64.07
2017,3,64.5
2017,4,64.64
2017,5,64.73
2017,6,64.82
2017,7,65.03
2017,8,65.53
2017,9,65.88
2017,10,66.19
2017,11,66.41
2017,12,66.2
2018,1,68
2018,2,68.6
2018,3,68.79
2018,4,68.84
2018,5,69.39
2018,6,70.08
2018,7,70.5
2018,8,70.97
2018,9,71.33
2018,10,71.49
2018,11,71.75
2018,12,71.47
2019,1,73.03
2019,2,73.74
2019,3,74.14
2019,4,74.46
2019,5,74.76
2019,6,75.24
2019,7,75.81
2019,8,76.48
2019,9,76.87
2019,10,77.45
2019,11,77.78
2019,12,77.76
2020,1,79.38
2020,2,79.87
2020,3,80.93
2020,4,82.55
2020,5,83.02
2020,6,83.03
2020,7,83.49
2020,8,83.97
2020,9,84.5
2020,10,84.99
2020,11,85.24
2020,12,85.07
2021,1,86.44
2021,2,87.15
2021,3,87.69
2021,4,88.13
2021,5,88.53
2021,6,89.12
2021,7,89.58
2021,8,90.34
2021,9,90.76
2021,10,91.7
2021,11,91.94
2021,12,91.85
2022,1,93.49
2022,2,94.86
2022,3,95.91
2022,4,96.38
2022,5,96.83
2022,6,97.4
2022,7,98.15
2022,8,98.96
2022,9,99.79
2022,10,100
2022,11,99.72
2022,12,99.47
2023,1,101.01
2023,2,102.02
2023,3,102.94
2023,4,103.71
2023,5,103.7
2023,6,103.22
2023,7,102.85
2023,8,103.03
2023,9,103.66
2023,10,104.3
2023,11,104.66
2023,12,104.55
2024,1,106.15
2024,2,106.83
2024,3,106.85
2024,4,107.53
2024,5,107.95
2024,6,108.34
2024,7,108.45
2024,8,108.76
2024,9,109.17
2024,10,109.53
2024,11,109.92
2024,12,110.29
2025,1,111.51
2025,2,112.28
2025,3,112.92
2025,4,113.28
2025,5,113.4058896
2025,6,113.3058962
2025,7,113.3672224
2025,8,113.329081
2025,9,113.8095749
2025,10,114.2615768
2025,11,114.4225243
2025,12,114.3155522
2026,1,115.3645581
2026,2,115.7680071
2026,3,116.2392798
